[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3970817615.25757,10/28/2025,12:53 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1347,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM897,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,865,PREAMP_SERIAL_NUMBER
INFO,1014,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3970821133.7245,4.99992418289185,0.0793754979968071,1.60126682402909E-6,1.02938501297125E-7,1,1.99850670813958,40.0298881530762,1.98812411073897,19.4600000977516,1.86734238441587E-5,-3.96519307662631E-6,0.25,-6.84584664217418E-7,1.60126682402909E-6,-6.84584664217418E-7,4.99973249435425,4.99973249435425,0.048846460878849,0.109904535114765,49.2269641411591,18.2107215326888,6.75229358673096,0,0,0,80,5.00011587142944,1,4,1,1.99264526367187,37.6344108581543,,,,,,,,,,,,,,,,
,3970821143.848,5.00116777420044,21.1242183856666,2.15087703338606E-6,1.84518696539966E-7,1,1.99850670813958,40.0298881530762,1.98770410522468,19.4600000977516,2.52685101795288E-5,-6.29335760124869E-6,0.25,-1.00961244618524E-6,2.15087703338606E-6,-1.00961244618524E-6,5.0020637512207,5.0020637512207,0.0732696875929832,42.1751670837402,49.209768313736,18.2112625665116,6.7648720741272,0,0,0,80,5.00027179718018,1,6,1,2.00881958007813,38.1231689453125,,,,,,,,,,,,,,,,
,3970821145.713,5.00074648857117,92.0595836639404,3.13372784034087E-6,1.48862884540414E-7,1,1.99850670813958,40.0298881530762,1.98761820806016,19.4600000977516,3.46544276274681E-5,1.77558663572309E-6,0.25,-4.53059951208195E-7,3.13372784034087E-6,-4.53059951208195E-7,5.00027179718018,5.00027179718018,42.1751670837402,141.944000244141,49.0815812365821,18.2136653367959,6.76658725738525,0,0,0,80,5.00122117996216,1,6,1,2.01400756835938,38.1231689453125,,,,,,,,,,,,,,,,
,3970821147.711,5.00135731697082,191.998558044434,5.79007358275071E-6,1.25733736928913E-7,1,1.99850670813958,40.0298881530762,1.98743474668754,19.4600000977516,6.36747134025325E-5,5.04993968739524E-6,0.25,-6.72505853288892E-7,5.79007358275071E-6,-6.72505853288892E-7,5.00122117996216,5.00122117996216,141.944000244141,242.053115844727,49.199607142986,18.2145572647145,6.76913547515869,0,0,0,80,5.00149345397949,1,6,1,1.99249267578125,38.1231689453125,,,,,,,,,,,,,,,,
,3970821149.693,5.00055623054504,289.484764099121,6.67873072227448E-6,1.3047304704379E-7,1,1.99850670813958,40.0298881530762,1.98720269690471,19.4600000977516,7.28695350680813E-5,8.71046877696658E-6,0.25,-5.0723360084026E-7,6.67873072227447E-6,-5.0723360084026E-7,5.00149345397949,5.00149345397949,242.053115844727,336.916412353516,49.1362952329283,18.2142929521547,6.77069330215454,0,0,0,80,4.9996190071106,1,6,1,2.01904296875,38.1231689453125,,,,,,,,,,,,,,,,
,3970821151.702,5.00042009353638,389.396194458008,7.01479839884522E-6,1.34135685752356E-7,1,1.99850670813958,40.0298881530762,1.98706747405721,19.4600000977516,7.65473235496927E-5,9.06568715946622E-6,0.25,-5.40428802377367E-7,7.01479839884522E-6,-5.40428802377367E-7,4.9996190071106,4.9996190071106,336.916412353516,441.8759765625,49.2105499422552,18.2172894262924,6.77290678024292,0,0,0,80,4.99932765960693,1,6,1,2.00942993164062,39.1006851196289,,,,,,,,,,,,,,,,
,3970821153.7175,5.00098538398743,491.844635009766,7.50031783281059E-6,1.270748276857E-7,1,1.99850670813958,40.0298881530762,1.9869423222529,19.4600000977516,8.23389019939424E-5,7.16500235308082E-6,0.25,-8.1299301353019E-7,7.50031783281059E-6,-8.1299301353019E-7,5.00122117996216,5.00122117996216,441.8759765625,541.813293457031,48.9846593001975,18.2154065292216,6.77494525909424,0,0,0,80,5.0007495880127,1,6,1,1.99478149414062,38.6119270324707,,,,,,,,,,,,,,,,
,3970821155.7165,5.00063586235046,591.666229248047,7.92955405248681E-6,1.21210833606968E-7,1,1.99850670813958,40.0298881530762,1.98678180300427,19.4600000977516,8.65499544394839E-5,1.00790479446912E-5,0.25,-6.2647539331959E-7,7.92955405248681E-6,-6.2647539331959E-7,5.0007495880127,5.0007495880127,541.813293457031,641.519165039063,49.3879796161206,18.2197275693537,6.77782249450684,0,0,0,80,5.00052213668823,1,6,1,2.017822265625,37.6344108581543,,,,,,,,,,,,,,,,
,3970821157.712,5.00017142295837,691.539672851562,7.63780228741657E-6,1.31600705845438E-7,1,1.99850670813958,40.0298881530762,1.98669284025728,19.4600000977516,8.32919177231308E-5,1.00619777191779E-5,0.25,-5.70466850920663E-7,7.63780228741657E-6,-5.70466850920663E-7,5.00052213668823,5.00052213668823,641.519165039063,741.560180664062,49.839760900236,18.2169689740855,6.77901124954224,0,0,0,80,4.99945211410522,1,6,1,2.0196533203125,38.6119270324707,,,,,,,,,,,,,,,,
,3970821159.7155,5.00073504447937,791.332183837891,7.57344854414152E-6,1.25229927150589E-7,1,1.99850670813958,40.0298881530762,1.98655905321157,19.4499995559454,8.2989820523581E-5,7.92224178456903E-6,0.25,-7.56825040534561E-7,7.57344854414152E-6,-7.56825040534561E-7,4.99982070922852,4.99982070922852,741.560180664062,841.104187011719,48.6962383766013,18.2224558410014,6.78073501586914,0,0,0,80,5.00164937973022,1,6,1,2.01690673828125,39.1006851196289,,,,,,,,,,,,,,,,
